Ambiente	CE	DAP	RM_0-5	RM_5=10	HR	P	MO	Ph	Ca	Mg	Na	K	N	ARA	RESP
CG	0.51	1.14	0	2	0.24	2.2	1.68	6.32	4.73	1.55	1.1	1.2	0.25	0.15	0
CG	0.49	1.08	0.5	0	0.22	3.83	5.03	5.9	4.85	1.25	0.89	0.8	0.25	0.15	0.01
CG	0.45	1.19	1	7	0.17	1.88	2.93	6.47	5.05	1.02	0.67	0.65	0.2	0.1	0.01
CG	0.46	1.12	5	7.5	0.24	14.13	3.14	6.3	5.4	1.33	0.7	1.1	0.25	0.14	0
CG	0.41	0.83	0	0.5	0.23	5.68	3.98	5.9	5.6	1.45	0.77	0.68	0.22	0.12	0.01
CG	0.51	1.12	3.5	3	0.27	4.75	5.23	5.68	4.85	1.6	0.9	0.87	0.29	0.14	0.01
CG	0.32	1.04	2.5	2	0.26	7.35	3.77	6.12	4.58	0.93	1.05	0.9	0.22	0.15	0.01
CG	0.31	1.08	3.5	4.5	0.27	4.01	5.23	6.15	4.83	0.95	0.65	1.3	0.28	0.11	0
CG	0.42	1.28	6.5	6.5	0.22	3.64	4.19	6.21	5.35	1.03	0.95	1.15	0.24	0.14	0.01
AG	2.36	0.94	6	13.5	0.13	29.7	1.81	5.28	7.28	2.28	0.74	1.1	0.35	0.24	0.07
AG	1.24	1.06	8	6	0.14	29	2.29	5.3	6.45	1.89	0.63	1.5	0.37	0.11	0.02
AG	2	1.23	10	17.5	0.16	27.8	1.51	4.95	5.9	1.98	0.65	1.3	0.26	0.11	0.02
AG	1.4	0.92	8.5	11.5	0.14	37.11	2.4	5.1	5.74	1.95	0.83	1.63	0.27	0.1	0.03
AG	1.68	1.09	8.5	9.5	0.12	36.9	2.4	5.22	5.35	2.3	0.85	1.52	0.32	0.01	0.02
AG	1.56	1.02	6.5	11	0.11	30	2.04	5	6.15	1.83	0.94	1.47	0.41	0.11	0.02
AG	1.6	1.37	12.5	19	0.15	36.5	2.2	5.16	6.38	1.9	0.7	1.23	0.33	0.06	0.02
AG	0.84	1.3	5	6.75	0.14	31.65	1.55	5.16	7.05	1.87	0.71	1.56	0.26	0.06	0
AG	1.52	1.01	9	16	0.13	32.5	2.03	5.03	6.37	2.25	0.66	1.98	0.33	0.11	0.02
AG	0.89	1.44	2.75	4.75	0.25	24.7	2.61	5.5	6.5	2.1	0.72	1.22	0.29	0.03	0.03
AG	1.01	1.31	2.5	4	0.26	22.6	2.54	5.45	6.4	1.95	0.62	1.6	0.28	0.05	0.1
